tracked_at,grid_row,grid_col,occupied,occupancy_rate
2022-04-25 01:45:00,0,4,64,0.64
2022-04-25 01:45:00,0,5,98,0.98
2022-04-25 01:45:00,0,6,105,1.05
2022-04-25 01:45:00,0,7,14,0.14
2022-04-25 01:45:00,1,1,28,0.28
2022-04-25 01:45:00,1,2,127,1.27
2022-04-25 01:45:00,1,3,181,1.81
2022-04-25 01:45:00,1,4,222,2.22
2022-04-25 01:45:00,1,5,117,1.17
2022-04-25 01:45:00,1,6,196,1.96
2022-04-25 01:45:00,1,7,99,0.99
2022-04-25 01:45:00,1,8,61,0.61
2022-04-25 01:45:00,2,0,26,0.26
2022-04-25 01:45:00,2,1,74,0.74
2022-04-25 01:45:00,2,2,306,3.06
2022-04-25 01:45:00,2,3,155,1.55
2022-04-25 01:45:00,2,4,159,1.59
2022-04-25 01:45:00,2,5,230,2.3
2022-04-25 01:45:00,2,6,219,2.19
2022-04-25 01:45:00,2,7,52,0.52
2022-04-25 01:45:00,3,0,56,0.56
2022-04-25 01:45:00,3,1,74,0.74
2022-04-25 01:45:00,3,2,307,3.07
2022-04-25 01:45:00,3,3,146,1.46
2022-04-25 01:45:00,3,4,184,1.84
2022-04-25 01:45:00,3,5,141,1.41
2022-04-25 01:45:00,3,6,157,1.57
2022-04-25 01:45:00,3,7,4,0.04
2022-04-25 01:45:00,4,0,294,2.94
2022-04-25 01:45:00,4,1,256,2.56
2022-04-25 01:45:00,4,2,181,1.81
2022-04-25 01:45:00,4,3,195,1.95
2022-04-25 01:45:00,4,4,119,1.19
2022-04-25 01:45:00,4,5,97,0.97
2022-04-25 01:45:00,4,6,260,2.6
2022-04-25 01:45:00,4,7,143,1.43
2022-04-25 01:45:00,4,8,86,0.86
2022-04-25 01:45:00,4,9,14,0.14
2022-04-25 01:45:00,5,0,321,3.21
2022-04-25 01:45:00,5,1,361,3.61
2022-04-25 01:45:00,5,2,130,1.3
2022-04-25 01:45:00,5,3,145,1.45
2022-04-25 01:45:00,5,4,57,0.57
2022-04-25 01:45:00,5,5,43,0.43
2022-04-25 01:45:00,5,6,210,2.1
2022-04-25 01:45:00,5,7,121,1.21
2022-04-25 01:45:00,5,8,48,0.48
2022-04-25 01:45:00,5,9,60,0.6
2022-04-25 01:45:00,5,10,2,0.02
2022-04-25 01:45:00,6,0,7,0.07
2022-04-25 01:45:00,6,1,159,1.59
2022-04-25 01:45:00,6,2,188,1.88
2022-04-25 01:45:00,6,3,130,1.3
2022-04-25 01:45:00,6,4,216,2.16
2022-04-25 01:45:00,6,5,74,0.74
2022-04-25 01:45:00,6,6,123,1.23
2022-04-25 01:45:00,6,7,127,1.27
2022-04-25 01:45:00,6,8,134,1.34
2022-04-25 01:45:00,6,9,23,0.23
2022-04-25 01:45:00,7,1,49,0.49
2022-04-25 01:45:00,7,2,130,1.3
2022-04-25 01:45:00,7,3,123,1.23
2022-04-25 01:45:00,7,4,94,0.94
2022-04-25 01:45:00,7,5,31,0.31
2022-04-25 01:45:00,7,6,17,0.17
2022-04-25 01:45:00,7,7,45,0.45
2022-04-25 01:45:00,7,8,39,0.39
2022-04-25 01:45:00,7,9,4,0.04
2022-04-25 01:45:00,8,1,3,0.03
2022-04-25 01:45:00,8,2,15,0.15
2022-04-25 01:45:00,8,3,7,0.07
2022-04-25 01:45:00,8,4,199,1.99
2022-04-25 01:45:00,8,5,49,0.49
2022-04-25 01:45:00,8,6,25,0.25
2022-04-25 01:45:00,8,7,17,0.17
2022-04-25 01:45:00,8,8,10,0.1
2022-04-25 01:45:00,8,9,1,0.01
2022-04-25 01:45:00,9,3,29,0.29
2022-04-25 01:45:00,9,4,31,0.31
2022-04-25 01:45:00,9,5,8,0.08
2022-04-25 01:45:00,9,6,6,0.06
2022-04-25 01:45:00,9,7,4,0.04
